_id,adventureName,description,coverImage,price
{'$oid': '651873891033806d110d5479'},Mombasa Coastal Explorer,"Explore the beautiful coastal treasures of Mombasa. From pristine beaches to vibrant markets, this adventure offers a taste of the coastal life.",https://i.imgur.com/E4Xiiys.png,22000
{'$oid': '651874721033806d110d547d'},Mombasa Cultural Delight,"Immerse yourself in the rich Swahili culture of Mombasa. Your experienced host, Abdul, will take you on a journey of traditional music, cuisine, and historic sites.",https://i.imgur.com/Bonjsdh.png,32100
{'$oid': '651874e31033806d110d547f'},Mombasa Wildlife Safari,Embark on an unforgettable wildlife safari in the heart of Mombasa's wilderness. Our expert guide will lead you to encounter majestic creatures in their natural habitat.,https://i.imgur.com/iYyP6G0.png,21500
{'$oid': '6518753c1033806d110d5481'},Mombasa Beach Paradise,"Experience the epitome of luxury on Mombasa's pristine beaches. Indulge in lavish accommodations, gourmet dining, and beachfront relaxation.",https://i.imgur.com/gmxprr0.jpg,32000
{'$oid': '651875711033806d110d5483'},Mombasa Island Retreat,"Escape to an exclusive island retreat in Mombasa. Enjoy private villas, water sports, and gourmet dining in a tropical paradise.",https://i.imgur.com/8xXiQll.png,42500
{'$oid': '6518762c1033806d110d5485'},Nairobi Safari Expedition,Embark on a thrilling safari adventure in Nairobi National Park. Witness incredible wildlife up close and enjoy a comfortable safari camp stay.,https://independenttravelcats.com/wp-content/uploads/2022/05/Nairobi-National-Park-6.jpg,21000
{'$oid': '651876511033806d110d5487'},Nairobi Cultural Exploration,"Discover the rich cultural diversity of Nairobi. Explore local traditions, cuisines, and vibrant markets in the heart of the city.",https://editions.thediscoverer.com/97/images/3.jpg,17000
{'$oid': '651876b91033806d110d5489'},Nairobi Wildlife Conservation,Participate in wildlife conservation efforts in Nairobi. Get up close with endangered species and contribute to their protection.,https://www.andbeyond.com/wp-content/uploads/sites/5/giraffe-and-sky-line-nairobi.jpg,18000
{'$oid': '651876e11033806d110d548b'},Nairobi Culinary Safari,"Embark on a culinary journey through Nairobi. Savor diverse cuisines, street food, and visit bustling markets.",https://migrationology.com/wp-content/uploads/2011/06/best-kenyan-food-dishes.jpg,17000
{'$oid': '651877131033806d110d548d'},Nairobi Art & Culture Tour,"Explore Nairobi's vibrant art scene and cultural heritage. Visit museums, galleries, and interact with local artists.",https://static01.nyt.com/images/2018/06/13/arts/13NAIROBI-INYTadd1/merlin_139267578_192390c2-6a01-412d-8be8-17c1c49b24e7-superJumbo.jpg,13500
{'$oid': '6518777c1033806d110d548f'},Diani Beach Retreat,"Escape to the pristine beaches of Diani. Enjoy sun, sand, and the beauty of the Indian Ocean.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/59021275.jpg?k=41542e2fb664cd32a35009d0e13ba40de2d2fd5f5a5e75a783add0be0eaadd73&o=&hp=1,19500
{'$oid': '6518779c1033806d110d5491'},Diani Safari and Beach Combo,Experience the best of both worlds with a safari adventure and relaxing beach stay in Diani.,https://visitdiani.com/wp-content/uploads/sites/14/2020/06/dianidhow4.jpg,19500
{'$oid': '651878091033806d110d5493'},Diani Water Sports Extravaganza,Dive into thrilling water sports and enjoy the crystal-clear waters of Diani Beach.,https://www.thesandsatnomad.com/wp-content/uploads/2019/06/Watersports5_1600x900-1030x579.jpg,22000
{'$oid': '651878301033806d110d5495'},Diani Wellness Retreat,"Rejuvenate your mind, body, and soul with a wellness retreat on the serene beaches of Diani.",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/37/71/fd/neptune-village-beach.jpg?w=700&h=-1&s=1,21000
{'$oid': '6518785c1033806d110d5497'},Malindi Coastal Exploration,"Embark on a coastal adventure in the beautiful town of Malindi, known for its pristine beaches and rich history.",https://yellowzebrasafaris.com/media/46756/aerial-view-hemingways-watamu-malindi-and-watamu-beach-kenya.jpg?anchor=center&mode=crop&width=2048&height=1024&format=jpg&rnd=132768716060000000,18500
{'$oid': '651878c61033806d110d5499'},Malindi Marine Safari,Explore the underwater wonders of Malindi's marine life on an exciting safari in the Indian Ocean.,https://ichef.bbci.co.uk/news/976/cpsprodpb/1799C/production/_117386669_img_2065_976549.png,18000
{'$oid': '651878e71033806d110d549b'},Malindi Cultural Immersion,"Experience the vibrant culture of Malindi through its traditions, music, and delicious cuisine.",https://eastafricanretreats.com/wp-content/uploads/2022/11/001-Beach-Palazzo-750x430.jpg,16500
{'$oid': '6518792a1033806d110d549d'},Watamu Coastal Retreat,"Relax and unwind on the pristine beaches of Watamu. Enjoy water sports, seafood, and the tranquil atmosphere.",https://ajkenyasafaris.com/wp-content/uploads/2023/05/watamu-beaches-bg1.webp,23500
{'$oid': '651879751033806d110d549f'},Watamu Island Paradise,"Embark on a journey to Watamu Island and experience its unspoiled beauty, marine life, and water sports.","https://res.cloudinary.com/enchanting/q_70,f_auto,c_fill,g_face/hj-web/2020/10/Hemingways-Watamu-Property-View-004-113752.jpg",21400
{'$oid': '651879ac1033806d110d54a1'},Lamu Island Serenity,"Experience the tranquility of Lamu Island, its rich culture, and pristine beaches.",https://www.awaygowe.com/wp-content/uploads/2021/12/lamu-island-featured.webp,19500
{'$oid': '651879cc1033806d110d54a3'},Lamu Cultural Odyssey,"Immerse yourself in Lamu's unique culture, history, and traditions.",https://www.lamuholiday.com/swahili-culture/swahili-festivals/festivals01.jpg,16700
{'$oid': '65187a131033806d110d54a5'},Lamu Island Paradise Retreat,Escape to a secluded paradise on Lamu Island and rejuvenate your soul.,https://themajlisresorts.com/wp-content/uploads/2022/11/12-kusi-villa-pool-majlis-hotel-lamu-1.jpg,29300
